month,count
2020-11,1760
2020-12,2904
2021-01,6292
2021-02,1584
2021-03,1012
2021-04,1012
2021-05,1980
2021-06,1012
2021-07,1364
2021-08,2288
2021-09,1276
2021-10,1540
2021-11,1496
2021-12,1672
2022-01,4708
2022-02,2860
2022-03,13156
2022-04,6644
2022-05,7964
2022-06,7040
2022-07,5192
2022-08,6556
2022-09,6996
2022-10,18436
2022-11,6556
2022-12,5764
2023-01,4400
2023-02,2684
2023-03,3344
2023-04,5060
2023-05,13684
2023-06,5104
2023-07,5940
2023-08,4180
2023-09,3124
2023-10,6116
2023-11,3388
2023-12,4488
2024-01,13684
2024-02,7612
2024-03,12452
2024-04,12892
2024-05,8800
2024-06,5720
2024-07,10956
2024-08,8932
2024-09,3520
2024-10,2244
