time_stamp,count
2020-10-01,2068
2020-11-01,8316
2020-12-01,3696
2021-01-01,1452
2021-02-01,1540
2021-03-01,528
2021-04-01,572
2021-05-01,4928
2021-06-01,2332
2021-07-01,1276
2021-08-01,968
2021-09-01,2640
2021-10-01,7656
2021-11-01,2948
2021-12-01,4708
2022-01-01,3432
2022-02-01,1716
2022-03-01,1628
2022-04-01,5984
2022-05-01,4312
2022-06-01,13552
2022-07-01,14124
2022-08-01,6644
2022-09-01,1980
2022-10-01,3344
2022-11-01,2816
2022-12-01,2948
2023-01-01,4092
2023-02-01,7524
2023-03-01,4796
2023-04-01,12232
2023-05-01,25168
2023-06-01,6908
2023-07-01,4400
2023-08-01,8580
2023-09-01,4532
2023-10-01,8712
2023-11-01,16632
2023-12-01,7744
2024-01-01,5324
2024-02-01,5808
2024-03-01,4268
2024-04-01,7436
2024-05-01,38896
2024-06-01,20240
2024-07-01,17160
2024-08-01,22572
2024-09-01,19184
2024-10-01,8052
