time_stamp,count
2016-07-01,1540
2016-08-01,5852
2016-09-01,6732
2016-10-01,11836
2016-11-01,12100
2016-12-01,13860
2017-01-01,11924
2017-02-01,19448
2017-03-01,10428
2017-04-01,10296
2017-05-01,14080
2017-06-01,13288
2017-07-01,11396
2017-08-01,16852
2017-09-01,22440
2017-10-01,20152
2017-11-01,19492
2017-12-01,23672
2018-01-01,19800
2018-02-01,14476
2018-03-01,17468
2018-04-01,21692
2018-05-01,37488
2018-06-01,29480
2018-07-01,22396
2018-08-01,35904
2018-09-01,29656
2018-10-01,26884
2018-11-01,23188
2018-12-01,39248
2019-01-01,23320
2019-02-01,17644
2019-03-01,23276
2019-04-01,45452
2019-05-01,25652
2019-06-01,28072
2019-07-01,28688
2019-08-01,24068
2019-09-01,13068
2019-10-01,19272
2019-11-01,17248
2019-12-01,41360
2020-01-01,26884
2020-02-01,45848
2020-03-01,24640
2020-04-01,19580
2020-05-01,17160
2020-06-01,32032
2020-07-01,29656
2020-08-01,42460
2020-09-01,21648
2020-10-01,23056
2020-11-01,17116
2020-12-01,17512
2021-01-01,8800
2021-02-01,8360
2021-03-01,9152
2021-04-01,7920
2021-05-01,11704
2021-06-01,13860
2021-07-01,9152
2021-08-01,6380
2021-09-01,4664
2021-10-01,3828
2021-11-01,3608
2021-12-01,9020
2022-01-01,8448
2022-02-01,6116
2022-03-01,7392
2022-04-01,11924
2022-05-01,14124
2022-06-01,27148
2022-07-01,12188
2022-08-01,12980
2022-09-01,5236
2022-10-01,12936
2022-11-01,19316
2022-12-01,8316
2023-01-01,8228
2023-02-01,5236
2023-03-01,5060
2023-04-01,4664
2023-05-01,7040
2023-06-01,12980
2023-07-01,10340
2023-08-01,7920
2023-09-01,4224
2023-10-01,4664
2023-11-01,7612
2023-12-01,7920
2024-01-01,3872
2024-02-01,5192
2024-03-01,4444
2024-04-01,6512
2024-05-01,8140
2024-06-01,17424
2024-07-01,26400
2024-08-01,15048
2024-09-01,6952
2024-10-01,3652
