time_stamp,count
2018-06-01,2464
2018-07-01,3784
2018-08-01,2552
2018-09-01,2200
2018-10-01,2068
2018-11-01,4180
2018-12-01,2948
2019-01-01,2376
2019-02-01,1716
2019-03-01,1980
2019-04-01,4224
2019-05-01,3300
2019-06-01,2068
2019-07-01,2288
2019-08-01,3740
2019-09-01,4928
2019-10-01,4092
2019-11-01,2288
2019-12-01,2596
2020-01-01,2860
2020-02-01,4268
2020-03-01,3520
2020-04-01,2904
2020-05-01,4664
2020-06-01,5104
2020-07-01,2596
2020-08-01,2332
2020-09-01,1232
2020-10-01,5060
2020-11-01,2684
2020-12-01,2728
2021-01-01,968
2021-02-01,1276
2021-03-01,1320
2021-04-01,1232
2021-05-01,2200
2021-06-01,4796
2021-07-01,1672
2021-08-01,1628
2021-09-01,1364
2021-10-01,4708
2021-11-01,4488
2021-12-01,2772
2022-01-01,1452
2022-02-01,1452
2022-03-01,1496
2022-04-01,2024
2022-05-01,3036
2022-06-01,2508
2022-07-01,5412
2022-08-01,7392
2022-09-01,3344
2022-10-01,3080
2022-11-01,1760
2022-12-01,1716
2023-01-01,2992
2023-02-01,2860
2023-03-01,5412
2023-04-01,2508
2023-05-01,2376
2023-06-01,2420
2023-07-01,2816
2023-08-01,2948
2023-09-01,3212
2023-10-01,3388
2023-11-01,2068
2023-12-01,2376
2024-01-01,2904
2024-02-01,6336
2024-03-01,4840
2024-04-01,3388
2024-05-01,2288
2024-06-01,2024
2024-07-01,2200
2024-08-01,1848
2024-09-01,1892
2024-10-01,880
